,Series3_A549_Mock_1,Series3_A549_Mock_2,Series3_A549_RSV_1,Series3_A549_RSV_2,Series8_A549_Mock_1,Series8_A549_Mock_2,Series8_A549_Mock_3,Series8_A549_RSV_1,Series8_A549_RSV_2,Series8_A549_RSV_3,Series8_A549_HPIV3_3,Series8_A549_HPIV3_2,Series8_A549_HPIV3_1
PTPN1,586,559,214,121,42,353,528,1515,767,1500,871,727,899
MIR645,0,0,0,0,0,0,0,0,0,0,0,0,0
PARD6B,147,92,33,15,6,27,68,120,40,118,69,55,84
BCAS4,454,341,133,142,255,104,172,214,90,169,138,199,143
ADNP,685,810,204,105,12,468,943,944,373,768,1667,1156,2094
DPM1,646,769,209,129,52,248,431,692,329,625,733,561,889
MOCS3,208,185,54,44,14,82,142,135,77,129,179,151,180
KCNG1,110,74,67,33,35,45,59,118,58,105,72,81,56
NFATC2,66,58,3,1,2,25,57,38,17,29,44,29,54
MIR3194,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP9A,1107,975,347,215,80,462,942,1074,514,861,934,698,1076
SALL4,159,126,51,30,6,17,41,20,19,16,37,27,41
ZFP64,299,249,112,63,55,166,309,347,187,310,479,362,512
TSHZ2,0,0,0,0,0,0,0,3,0,6,0,0,0
ZNF217,730,961,272,120,9,436,882,1476,740,1354,1497,1171,1998
SUMO1P1,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAS1,321,334,26,13,10,50,82,0,2,1,11,10,19
MIR4756,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP24A1,20448,21865,9675,5673,199,5347,10565,4959,2775,4203,12311,10699,14539
PFDN4,785,776,250,115,222,179,315,536,259,594,648,578,1032
DOK5,20,9,6,4,0,0,0,0,0,0,0,0,0
CBLN4,0,0,0,0,0,0,0,0,0,0,0,0,0
MC3R,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM210B,621,542,151,88,91,98,216,180,74,154,235,205,283
AURKA,1075,787,214,164,200,867,1304,1380,562,1128,1774,1392,1981
