,Series3_A549_Mock_1,Series3_A549_Mock_2,Series3_A549_RSV_1,Series3_A549_RSV_2,Series8_A549_Mock_1,Series8_A549_Mock_2,Series8_A549_Mock_3,Series8_A549_RSV_1,Series8_A549_RSV_2,Series8_A549_RSV_3,Series8_A549_HPIV3_3,Series8_A549_HPIV3_2,Series8_A549_HPIV3_1
PHACTR4,563,640,242,144,66,318,498,966,465,873,1036,761,1289
SNHG3,1564,1310,424,203,126,177,236,186,117,166,342,313,356
RCC1,1803,1442,444,266,300,647,1075,1084,604,1019,1255,1168,1213
TRNAU1AP,356,269,141,92,80,73,112,182,83,139,159,129,186
SNHG12,358,294,125,89,49,54,69,112,71,96,78,115,97
SNORD99,16,10,6,3,6,3,5,3,3,4,2,6,2
SNORA61,77,42,12,12,4,10,12,21,9,33,36,17,47
SNORA44,28,24,8,4,0,1,1,3,2,5,1,3,6
SNORA16A,12,16,9,0,1,0,4,12,3,8,4,5,8
RAB42,2,4,3,0,1,0,1,14,6,4,9,10,7
TAF12,501,401,180,86,28,122,180,246,123,195,378,230,417
RNU11,1,5,0,1,4,1,0,1,0,1,1,1,3
GMEB1,113,109,34,21,18,50,114,181,66,158,161,114,134
YTHDF2,945,803,240,130,92,264,495,632,304,587,859,720,994
OPRD1,2,0,0,0,0,0,0,1,1,0,0,0,0
EPB41,385,419,89,49,14,156,323,568,249,508,384,335,521
TMEM200B,6,3,0,2,0,4,0,4,0,3,3,5,0
SRSF4,1919,1436,613,378,65,408,622,909,475,877,1024,845,1214
MECR,425,320,104,82,129,88,119,92,39,87,110,139,114
PTPRU,1326,1131,290,245,42,180,343,197,111,163,273,305,282
MATN1,8,2,0,2,0,0,1,2,3,3,0,3,2
MATN1-AS1,83,47,10,4,6,15,17,17,13,14,65,50,47
LAPTM5,9,5,3,2,0,0,0,11,8,7,0,3,3
MIR4420,0,0,0,0,0,0,0,0,0,0,0,0,0
SDC3,1034,964,241,178,59,167,375,235,129,219,290,267,271
PUM1,831,741,235,113,54,432,863,1083,553,1020,1195,916,1424
SNORD103B,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD103A,0,0,0,0,0,0,0,0,0,0,0,0,0
NKAIN1,14,9,7,10,12,9,6,7,7,11,20,29,21
SNRNP40,462,379,145,87,177,269,410,425,203,379,686,514,698
ZCCHC17,412,318,151,94,91,128,186,361,187,314,289,263,349
FABP3,7,1,1,1,0,0,0,0,1,0,1,0,0
SERINC2,1322,950,484,311,208,228,403,748,449,685,435,420,362
TINAGL1,140,126,43,48,1,6,2,3,4,10,4,4,4
HCRTR1,0,1,0,0,0,0,0,0,0,0,0,0,0
PEF1,1269,860,368,269,600,331,536,690,399,631,647,598,604
COL16A1,1077,678,452,307,42,61,71,64,37,50,47,68,54
MIR4254,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOCD1,67,57,35,16,14,5,23,189,101,182,24,31,28
PTP4A2,2934,3001,1175,695,510,1050,1934,3031,1276,2569,3926,2717,4889
KHDRBS1,2926,2602,642,410,327,924,1748,2812,1340,2566,2418,2099,3054
TMEM39B,294,233,85,69,52,68,97,116,63,101,123,144,128
KPNA6,1223,1067,331,214,160,385,785,1187,530,965,1050,867,1215
TXLNA,1296,1172,348,252,193,489,893,1667,791,1574,1225,1175,1188
CCDC28B,142,112,50,32,30,9,11,7,4,4,6,10,3
IQCC,121,79,33,22,14,15,21,5,4,4,36,28,32
DCDC2B,100,53,14,9,0,2,0,0,0,1,0,0,0
TMEM234,174,121,37,32,31,15,35,48,34,41,43,35,39
EIF3I,5626,4000,1804,1218,1531,951,1416,2217,1168,1860,2124,2049,2413
MTMR9LP,199,197,92,41,11,11,18,23,13,11,21,21,17
FAM167B,115,70,35,15,29,8,17,12,10,13,19,19,18
LCK,0,0,0,0,0,0,0,0,0,0,0,0,0
HDAC1,2708,2197,704,393,295,609,910,1298,706,1116,1259,1105,1386
MARCKSL1,3057,2371,960,537,307,536,891,544,319,467,1099,1006,1282
FAM229A,162,128,66,30,29,7,8,12,5,4,1,9,1
TSSK3,301,263,114,44,0,0,1,0,0,0,1,0,0
BSDC1,876,732,266,198,93,272,442,800,476,753,476,554,440
ZBTB8B,2,0,0,1,0,0,0,0,0,1,0,0,1
ZBTB8A,118,110,28,12,11,35,64,79,40,71,115,102,126
ZBTB8OS,555,382,197,102,143,95,150,275,145,304,346,266,482
RBBP4,1154,1180,293,185,114,581,1054,1388,526,1165,1633,1264,1873
SYNC,20,28,19,14,26,71,133,193,82,177,136,117,157
KIAA1522,2322,2013,570,400,300,638,1113,1097,571,1023,884,947,703
YARS,1162,946,465,370,497,525,908,2105,1110,1858,1516,1347,1547
S100PBP,418,501,189,78,56,146,260,286,128,260,401,351,508
FNDC5,4,9,5,0,2,1,2,0,1,0,8,1,1
HPCA,7,14,3,3,2,1,2,1,1,4,2,0,3
TMEM54,641,461,210,166,513,162,253,273,168,259,308,344,244
RNF19B,183,174,127,112,46,149,218,1105,603,945,977,739,1067
AK2,2314,1860,969,516,602,736,1190,2130,1093,1907,2140,1811,2403
TRIM62,65,64,24,20,5,25,51,66,38,42,52,33,38
ZNF362,739,552,218,128,54,107,223,94,59,106,144,143,156
PHC2,1213,1043,466,364,303,295,413,1100,584,957,924,962,839
MIR3605,0,1,1,0,0,0,1,1,0,1,2,0,0
ZSCAN20,88,67,27,11,4,24,45,68,27,68,80,68,86
CSMD2,0,0,0,0,0,0,0,2,2,1,1,1,0
HMGB4,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf94,0,0,0,0,0,0,0,0,0,0,0,0,0
GJB5,3,1,0,0,1,0,1,0,0,1,1,1,2
GJB4,1,2,0,0,1,2,1,1,1,2,1,0,2
GJB3,1,0,1,0,4,2,3,16,11,22,13,13,10
GJA4,0,1,0,0,0,0,0,0,0,0,0,0,0
SMIM12,380,380,131,93,236,145,293,383,228,428,384,386,444
DLGAP3,11,6,7,0,1,1,1,3,3,1,0,5,0
LOC653160,43,45,26,16,6,8,10,13,4,12,10,13,17
ZMYM6,265,241,94,30,5,72,109,124,64,117,206,150,281
ZMYM1,95,120,18,8,3,63,179,112,49,98,261,220,304
SFPQ,4456,3373,1488,709,387,1967,3431,4011,1888,3818,5031,4236,5884
ZMYM4,666,665,185,90,38,321,546,871,323,741,1048,761,1381
KIAA0319L,1400,1213,431,292,131,252,492,612,347,537,616,545,700
NCDN,461,361,98,80,64,123,223,248,148,249,217,234,157
TFAP2E,37,25,8,11,1,5,3,2,0,1,4,0,5
PSMB2,2596,2063,939,569,1208,827,1429,2113,1174,2004,2711,2040,3042
C1orf216,381,290,91,86,92,123,215,209,111,207,253,211,201
CLSPN,298,272,48,54,53,225,361,292,136,319,639,506,712
AGO4,188,226,80,48,6,69,92,191,78,170,164,135,218
AGO1,216,243,78,41,50,191,331,357,153,303,330,301,397
AGO3,94,59,26,16,7,41,70,170,71,134,163,140,187
TEKT2,0,0,1,1,0,0,0,0,0,1,0,0,0
ADPRHL2,655,406,257,205,140,162,226,393,208,366,345,369,272
COL8A2,0,3,0,0,1,0,5,2,1,4,2,3,2
TRAPPC3,1216,1086,502,320,410,346,532,749,363,659,693,660,857
MAP7D1,1723,1322,550,428,390,611,958,1918,1075,1757,1233,1219,1096
THRAP3,2320,1948,679,496,183,939,1709,2086,978,1718,2610,2091,3130
SH3D21,44,49,23,16,4,6,15,67,26,39,12,11,17
EVA1B,267,259,139,78,209,51,52,72,41,64,49,47,27
STK40,239,190,71,40,53,84,113,464,215,414,178,178,144
LSM10,535,354,208,132,286,153,214,281,174,273,250,296,276
OSCP1,222,154,48,42,29,19,39,34,8,20,47,35,50
MRPS15,2523,1625,910,455,706,341,545,694,340,578,740,651,872
CSF3R,3,0,0,0,0,0,0,0,0,0,1,0,0
GRIK3,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4255,0,0,0,0,0,0,0,0,0,0,0,0,0
ZC3H12A,4526,3515,2603,1612,66,282,483,2628,1647,2384,729,753,684
MEAF6,674,619,256,93,27,171,285,416,204,396,427,392,481
MIR5581,5,2,0,1,0,0,0,1,0,1,1,4,0
SNIP1,210,212,74,31,15,92,162,287,128,283,248,220,275
DNALI1,2,3,1,0,0,0,0,0,0,0,0,0,1
GNL2,1766,1190,673,377,237,268,461,693,318,601,852,616,1048
RSPO1,5,2,1,0,0,0,1,0,2,1,0,1,4
C1orf109,212,163,50,23,3,131,180,157,90,164,305,264,371
CDCA8,309,275,51,40,63,303,473,355,196,342,516,500,492
EPHA10,80,74,21,20,16,29,45,29,10,19,40,58,34
MANEAL,576,517,145,117,92,204,297,156,80,161,299,277,351
YRDC,323,265,89,70,23,61,99,243,117,190,173,156,161
C1orf122,784,576,224,154,667,197,293,276,157,229,187,289,101
MTF1,275,186,72,34,14,111,197,406,179,347,357,285,442
INPP5B,257,232,76,45,22,63,82,151,56,131,107,103,164
SF3A3,1090,976,325,210,335,477,783,1167,503,1007,1570,1121,1976
FHL3,170,145,76,39,50,23,46,110,72,83,68,89,51
POU3F1,0,0,0,0,0,0,0,1,0,0,0,0,0
MIR3659,0,0,0,0,0,0,0,0,0,0,0,0,0
RRAGC,127,218,50,32,22,115,247,574,257,476,411,323,486
GJA9-MYCBP,0,0,0,0,0,0,0,0,0,0,0,0,0
MYCBP,0,0,0,0,0,0,0,0,0,0,0,0,0
GJA9,0,0,0,0,0,0,0,0,0,0,0,0,0
RHBDL2,48,62,18,10,4,10,29,40,31,44,35,38,39
AKIRIN1,720,645,286,172,34,240,430,856,377,784,749,646,974
NDUFS5,5274,2723,1739,1056,1727,657,1066,1318,710,1201,1965,1385,2579
MACF1,2014,1749,939,735,118,1033,1715,4510,1994,3700,4074,3053,5434
KIAA0754,2,14,2,9,4,135,208,440,182,379,498,343,555
BMP8A,127,96,38,31,0,2,2,0,0,1,7,1,0
PPIEL,262,173,43,29,27,22,42,61,18,46,47,35,66
PABPC4,3035,2396,620,321,304,534,859,918,433,848,1081,904,1292
SNORA55,1,0,2,0,0,1,1,1,0,0,2,0,1
HEYL,124,102,32,18,29,44,83,47,33,56,81,99,56
NT5C1A,0,1,0,0,0,0,0,0,0,0,0,0,0
HPCAL4,5,8,10,1,0,1,1,6,2,2,5,2,6
PPIE,789,624,261,184,342,209,320,382,184,341,460,391,493
BMP8B,67,83,22,18,9,69,127,66,27,55,105,75,91
OXCT2,2,5,3,0,2,0,3,0,0,1,1,3,3
TRIT1,499,388,128,71,45,99,153,194,81,176,268,210,350
MFSD2A,181,143,100,59,20,29,61,226,128,210,77,84,76
CAP1,2545,2517,1015,622,569,1724,2896,6593,3248,5728,4940,3876,6064
PPT1,942,1365,280,127,227,478,834,1345,560,1073,1277,1133,1498
RLF,241,315,105,37,7,99,184,374,148,289,335,251,487
TMCO2,1,0,0,0,0,0,0,0,0,0,0,0,0
ZMPSTE24,368,426,89,56,72,366,718,1140,483,1015,1376,1104,1497
COL9A2,25,16,6,4,1,3,2,0,2,3,3,2,0
SMAP2,216,159,84,48,26,97,126,207,97,192,188,178,202
ZFP69B,14,21,4,1,2,11,34,17,11,19,26,30,35
ZFP69,0,0,0,0,0,0,0,0,0,0,0,0,0
EXO5,58,50,16,8,20,23,59,45,14,30,76,72,92
ZNF684,42,22,2,2,8,15,23,10,10,19,24,23,45
RIMS3,140,113,56,33,13,58,99,80,47,57,79,68,86
NFYC,1354,981,420,261,223,233,355,450,249,441,568,440,614
MIR30E,0,0,0,0,0,0,0,0,1,0,0,0,0
MIR30C1,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNQ4,15,8,5,2,1,1,1,34,17,27,13,8,8
CITED4,312,205,271,171,536,129,128,330,159,282,349,358,276
CTPS1,811,664,338,285,416,775,1227,1945,908,1820,2939,2715,3212
SLFNL1-AS1,21,22,6,7,2,23,34,23,12,32,43,44,35
SLFNL1,6,3,0,2,0,0,1,3,0,3,0,0,1
SCMH1,483,394,151,82,47,129,221,320,162,308,300,200,361
EDN2,53,44,14,18,7,6,12,1,2,5,8,6,3
HIVEP3,20,16,13,5,6,17,39,178,86,176,85,81,76
GUCA2B,5,4,0,0,2,0,1,0,0,0,0,0,0
GUCA2A,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXJ3,863,764,257,144,20,235,428,617,261,546,792,560,1010
RIMKLA,211,201,64,46,32,41,111,103,52,78,77,37,70
ZMYND12,28,19,3,9,1,0,2,0,1,1,3,0,3
PPCS,703,810,317,116,59,165,304,298,147,269,403,359,465
CCDC30,27,19,8,5,0,4,4,8,4,5,11,6,7
PPIH,561,319,105,63,229,165,261,252,125,228,370,367,415
YBX1,13632,8299,3548,2081,2655,3625,6036,7791,4248,7560,9074,7082,11284
CLDN19,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf50,100,83,47,35,58,16,55,46,24,53,48,67,53
ERMAP,263,266,62,41,13,60,109,89,49,86,136,102,154
ZNF691,290,187,76,64,34,51,77,59,52,59,143,80,110
SLC2A1,2359,2230,862,618,293,992,1642,4146,2160,3299,1475,1515,1312
SLC2A1-AS1,24,15,5,3,5,3,7,8,1,6,5,2,3
FAM183A,19,13,11,2,2,0,2,5,1,1,2,3,0
EBNA1BP2,1901,1294,684,479,1026,579,835,1282,585,1164,1633,1408,2279
TMEM125,1,0,0,0,0,0,0,0,0,1,0,0,0
C1orf210,0,1,0,0,1,0,0,0,0,0,0,0,0
TIE1,0,0,0,0,0,0,0,0,0,0,0,0,0
MPL,5,10,3,2,0,1,1,0,0,1,2,0,1
CDC20,1362,784,198,207,1130,696,974,679,354,607,1122,1171,1171
ELOVL1,1757,1629,545,407,441,604,990,1649,883,1409,1579,1516,1574
MED8,558,444,172,133,135,162,227,456,238,372,465,359,424
SZT2,450,427,207,113,65,244,421,546,308,525,486,412,513
HYI,0,0,0,0,71,24,41,71,27,30,63,62,49
PTPRF,2965,2866,767,614,346,1804,2719,4941,2719,4860,4328,4095,3857
KDM4A,689,485,199,138,54,224,385,613,294,534,661,642,791
KDM4A-AS1,14,20,7,1,9,6,8,8,4,5,9,7,6
ST3GAL3,117,133,43,38,34,22,22,47,22,42,40,28,36
ARTN,50,30,18,10,1,1,5,3,1,5,1,1,4
IPO13,499,367,133,88,145,177,254,288,157,265,319,299,308
DPH2,553,439,126,77,73,171,348,261,122,247,362,404,327
ATP6V0B,1979,1467,865,562,581,306,498,940,501,753,410,533,263
B4GALT2,1138,800,295,294,365,290,480,515,299,490,584,639,532
CCDC24,720,518,224,139,187,70,105,52,35,44,69,92,53
SLC6A9,120,96,63,41,54,94,174,336,161,316,340,365,303
KLF17,0,0,0,0,0,0,1,11,1,6,4,2,5
DMAP1,694,456,214,131,287,134,184,237,136,248,236,209,243
ERI3,937,681,234,160,495,217,337,327,170,241,397,365,316
RNF220,1042,796,294,212,126,335,490,471,241,454,696,581,750
MIR5584,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM53,416,259,129,78,74,34,79,83,72,87,48,75,51
KIF2C,661,530,125,104,242,436,684,572,274,478,810,674,950
RPS8,33262,24295,8392,6691,7601,3516,5491,6673,3789,5531,6756,6005,6666
SNORD55,13,6,3,2,0,2,4,3,1,5,2,5,2
SNORD46,4,7,1,2,0,0,0,1,0,0,0,2,0
SNORD38A,23,1,0,1,1,0,0,2,0,0,0,1,0
SNORD38B,34,20,4,5,3,5,2,2,2,0,6,2,9
BEST4,28,32,17,4,0,0,3,1,1,0,3,1,2
PLK3,486,388,168,104,14,41,65,202,118,186,115,115,101
TCTEX1D4,11,13,1,5,3,1,5,1,1,1,2,1,2
BTBD19,174,139,32,18,2,17,41,35,25,40,14,20,13
PTCH2,75,48,19,11,0,6,9,7,5,6,4,7,4
EIF2B3,290,237,74,46,120,87,173,226,106,223,335,232,334
HECTD3,922,639,242,145,233,271,461,512,290,437,597,498,631
UROD,1082,799,258,219,314,235,335,343,204,314,369,343,456
ZSWIM5,125,128,58,23,7,45,81,63,26,37,72,57,101
HPDL,21,20,7,4,21,18,18,8,11,9,13,18,16
MUTYH,350,262,96,58,57,70,90,59,42,72,106,94,104
TOE1,216,141,51,41,82,83,153,143,78,118,242,222,231
TESK2,10,22,9,2,2,4,7,11,8,17,11,12,17
MMACHC,87,79,22,3,26,18,36,25,19,19,60,60,35
PRDX1,26991,20499,9630,6769,7872,7155,10850,17527,7488,13145,15658,11409,16635
AKR1A1,2529,2009,651,517,406,433,677,548,276,487,744,680,766
NASP,3915,2460,900,633,554,810,1327,1254,582,1105,2128,1670,2565
CCDC17,87,79,23,15,7,6,11,6,3,4,16,7,4
GPBP1L1,1266,950,351,211,52,316,547,741,353,684,946,775,1261
RPS15AP10,9,6,0,0,0,0,1,1,1,1,0,1,3
TMEM69,697,501,230,117,31,82,146,198,99,207,246,219,285
IPP,56,77,9,7,11,59,105,94,47,99,105,92,165
MAST2,1403,1035,356,247,255,432,729,747,455,751,806,717,807
PIK3R3,44,52,32,24,9,28,65,79,41,72,124,105,156
TSPAN1,24,29,5,4,8,7,7,16,7,13,17,11,17
POMGNT1,1390,1060,409,309,347,380,583,906,486,871,744,778,684
LURAP1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAD54L,174,106,31,29,57,93,146,122,52,103,158,163,170
LRRC41,901,811,301,207,178,350,588,665,379,589,606,620,541
UQCRH,4507,2833,1237,937,996,728,1193,1580,929,1498,1776,1399,2014
NSUN4,380,328,123,89,62,139,191,313,142,261,372,307,336
FAAH,59,40,11,7,9,6,6,8,2,7,6,11,1
DMBX1,62,41,22,15,11,39,39,26,14,20,27,21,21
MKNK1-AS1,2,5,2,0,0,0,0,0,0,0,0,0,0
KNCN,0,0,0,0,0,0,0,0,0,0,0,0,0
MKNK1,378,297,186,85,52,140,217,343,173,332,292,281,369
MOB3C,178,144,118,68,37,54,74,307,171,252,201,185,235
ATPAF1,398,499,141,57,90,175,296,322,131,260,477,357,617
TEX38,2,1,0,1,0,0,0,0,0,0,0,0,0
EFCAB14-AS1,0,2,0,1,0,0,0,0,0,0,0,0,0
EFCAB14,711,826,253,130,66,427,882,1152,500,1026,1232,957,1671
CYP4B1,1,0,0,0,0,0,1,0,1,0,0,0,0
CYP4Z2P,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4A11,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4X1,4,1,1,0,0,0,0,0,0,1,0,0,1
CYP4Z1,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4A22,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00853,22,28,5,9,10,2,1,2,5,4,2,1,10
PDZK1IP1,251,199,113,104,147,84,92,994,615,826,125,154,135
TAL1,5,0,0,1,0,0,0,0,1,0,0,0,1
STIL,207,221,70,31,20,252,385,514,182,439,706,523,759
CMPK1,1235,1467,229,155,114,554,1241,1745,821,1722,1760,1378,2056
FOXE3,2,0,2,2,1,0,1,0,0,2,0,0,1
FOXD2-AS1,65,55,20,15,16,16,30,24,12,26,26,25,22
FOXD2,82,69,20,12,7,15,22,8,5,10,6,7,7
TRABD2B,30,8,7,3,0,2,13,16,7,10,10,13,16
SLC5A9,138,96,6,2,1,3,0,0,0,0,0,0,0
SPATA6,67,77,23,9,3,12,22,16,5,20,37,26,33
AGBL4,0,0,0,0,0,0,0,0,0,0,0,0,0
BEND5,4,0,0,0,0,0,1,0,0,0,0,0,0
ELAVL4,0,0,0,0,0,0,0,0,0,0,0,0,0
DMRTA2,5,6,0,0,1,1,1,5,2,9,6,11,2
FAF1,644,546,163,119,235,223,420,486,209,411,653,518,888
CDKN2C,874,585,111,68,114,163,343,243,135,206,320,293,277
C1orf185,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF11,256,244,70,41,2,168,308,554,284,569,538,430,514
TTC39A,248,198,47,42,27,43,108,99,55,75,107,91,143
EPS15,334,503,103,39,21,184,384,621,278,545,722,470,939
OSBPL9,2000,2024,672,327,94,529,1074,1330,530,1137,1741,1146,2353
MIR761,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB3B,139,144,91,94,39,198,344,1274,536,1075,908,792,1052
TXNDC12,2074,1608,478,253,188,455,754,1052,418,797,1286,984,1540
KTI12,0,0,0,0,0,0,0,0,0,0,0,0,0
BTF3L4,503,552,112,71,56,161,274,317,146,336,449,361,557
ZFYVE9,237,226,91,54,22,93,216,306,114,246,295,246,377
CC2D1B,983,737,270,233,109,242,393,595,307,525,487,439,463
ORC1,193,147,39,42,99,220,329,233,108,208,441,363,557
PRPF38A,429,416,156,71,55,162,239,390,166,325,473,320,569
GPX7,0,0,0,0,0,0,0,0,0,0,0,0,0
ZYG11B,167,270,58,26,21,124,304,252,115,238,366,296,372
ZYG11A,120,129,25,21,9,32,46,105,34,78,97,75,124
ECHDC2,576,468,160,119,69,61,68,58,46,58,66,67,74
SCP2,1304,1453,332,157,27,365,616,496,230,491,740,578,817
PODN,2,0,0,0,3,0,0,0,0,0,0,0,0
SLC1A7,9,6,2,0,0,0,1,0,0,0,0,0,0
CPT2,293,323,110,74,37,95,159,207,106,163,196,162,240
C1orf123,960,685,268,185,176,138,196,152,80,134,255,217,316
MAGOH,1039,550,346,171,114,170,273,353,260,427,477,518,578
LOC100507564,14,14,0,5,2,2,6,3,0,2,4,7,4
LRP8,1097,996,385,222,91,514,850,1760,895,1645,1588,1177,1772
SLC25A3P1,0,0,0,0,0,0,0,0,0,0,0,0,0
DMRTB1,0,0,0,0,0,0,0,0,0,0,0,0,0
GLIS1,0,0,0,0,1,0,0,0,0,0,0,0,0
YIPF1,559,409,181,106,124,109,171,405,167,302,291,205,439
DIO1,0,2,0,0,0,0,0,0,0,0,0,0,0
HSPB11,558,556,238,100,130,128,267,311,156,286,520,362,661
LRRC42,456,459,116,106,64,158,257,381,138,267,363,302,445
LDLRAD1,19,15,1,0,0,0,1,0,0,0,1,0,0
TMEM59,1407,2008,479,222,194,438,861,1201,571,1020,1051,916,1133
TCEANC2,97,81,40,13,7,38,69,74,26,78,108,88,106
MIR4781,0,0,0,0,0,0,0,0,0,0,0,0,0
CDCP2,0,0,0,0,0,0,0,0,0,0,0,0,0
CYB5RL,84,62,18,15,9,45,70,48,24,47,69,65,62
MRPL37,1067,901,284,256,718,522,806,840,451,780,1128,818,1336
SSBP3,205,186,67,29,15,71,108,104,65,81,113,69,148
ACOT11,48,48,17,7,14,23,61,35,21,35,30,30,28
FAM151A,8,3,0,0,0,0,0,0,0,0,0,0,0
MROH7,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC4,10,2,1,2,1,3,12,8,11,25,10,7,11
PARS2,81,55,15,7,23,40,62,45,35,43,81,76,104
TTC22,0,0,0,0,0,0,0,0,0,0,0,0,0
DHCR24,4665,3623,1294,756,402,1151,2132,3383,1752,2651,1504,1423,1488
TMEM61,9,1,2,3,1,0,2,2,1,2,0,2,2
BSND,0,0,0,0,0,0,0,0,0,0,0,0,0
PCSK9,2575,1682,654,508,155,333,497,640,360,483,420,424,349
USP24,921,734,279,171,61,449,794,1029,412,919,1387,967,1619
LOC100507634,33,12,11,6,2,2,4,11,3,3,6,6,5
MIR4422,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKAA2,187,234,41,7,12,123,236,242,103,217,315,267,358
C8A,0,0,0,0,0,0,0,0,0,0,0,0,0
C8B,0,0,0,0,0,0,0,0,0,0,0,0,0
DAB1,0,0,0,0,0,0,0,0,0,0,0,0,0
OMA1,277,322,98,50,20,53,106,78,45,68,202,140,308
TACSTD2,0,0,0,0,0,0,0,0,0,0,0,0,0
MYSM1,273,327,103,23,2,67,188,317,145,316,413,298,536
JUN,4478,3626,1882,924,57,345,413,1846,1062,1764,1734,1877,1800
HSD52,4,2,0,0,0,0,0,0,0,0,1,0,0
FGGY,72,56,17,12,13,14,25,22,10,22,32,23,48
MIR4711,0,0,0,0,0,0,0,0,0,0,0,0,0
HOOK1,63,105,22,8,1,28,75,34,22,35,85,66,121
CYP2J2,8,6,19,8,0,0,0,11,5,9,31,25,37
C1orf87,0,0,0,0,0,0,0,0,0,0,0,0,0
NFIA,384,429,66,34,48,119,260,117,89,118,244,190,284
MGC34796,2,0,0,0,0,0,0,0,0,0,0,0,0
TM2D1,380,348,164,49,7,78,145,206,141,244,174,179,157
L1TD1,0,0,0,0,0,0,0,0,0,0,0,0,0
KANK4,4,4,0,0,1,6,9,11,4,6,5,3,1
USP1,200,306,38,28,16,222,474,483,216,510,824,768,993
DOCK7,221,243,48,39,21,193,334,670,235,497,595,476,761
ANGPTL3,0,1,0,0,0,0,0,0,0,0,0,0,0
ATG4C,121,82,17,8,15,62,122,86,38,86,190,157,268
LINC00466,3,0,0,0,0,0,0,0,0,0,0,4,2
FOXD3,105,63,42,17,2,13,13,29,11,14,21,18,13
ALG6,129,176,45,20,15,63,110,102,34,87,165,163,223
ITGB3BP,246,268,32,14,66,93,185,193,84,173,293,257,359
EFCAB7,120,167,53,5,6,48,110,179,87,167,141,111,182
DLEU2L,9,5,3,0,0,0,3,2,1,1,2,1,2
PGM1,806,814,282,228,190,337,664,1152,582,955,936,691,1019
ROR1,72,87,10,7,9,171,302,469,196,378,467,357,580
UBE2U,0,0,0,0,0,0,0,0,0,0,0,0,0
CACHD1,56,61,9,6,0,21,57,68,32,45,77,53,101
MIR4794,0,0,0,0,0,0,0,0,0,0,0,0,0
RAVER2,282,334,88,39,27,93,182,117,73,122,257,201,350
JAK1,1865,2050,629,397,336,1731,2945,5228,2272,4087,4918,3616,5786
MIR3671,1,1,0,0,0,0,0,0,0,0,2,1,0
MIR101-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AK4,646,797,157,59,32,95,246,419,196,271,156,136,231
DNAJC6,36,37,14,8,0,78,116,298,93,208,202,165,221
LEPROT,1051,1122,319,141,39,286,575,737,334,702,804,660,942
LEPR,27,42,12,6,5,31,78,122,60,121,107,73,132
PDE4B,809,800,285,174,25,274,531,987,465,804,1314,850,1473
SGIP1,0,0,0,0,0,0,0,0,0,1,0,1,3
MIR3117,0,0,0,0,0,0,0,0,0,0,0,0,0
TCTEX1D1,0,0,0,0,0,0,0,0,0,0,0,0,0
INSL5,0,1,0,0,0,0,0,0,0,0,0,0,0
WDR78,14,27,7,1,4,4,6,13,9,11,16,5,15
MIER1,293,312,93,42,17,124,262,317,139,329,484,348,704
SLC35D1,251,264,68,42,11,89,197,303,120,271,265,236,353
C1orf141,0,0,0,0,0,0,0,0,0,0,0,0,0
IL23R,0,0,0,0,0,0,0,0,0,1,0,0,0
IL12RB2,5,4,2,3,0,0,0,0,0,0,1,0,0
SERBP1,3096,2918,829,540,546,1737,3004,3407,1677,3358,4515,3826,4997
GADD45A,677,539,222,103,27,66,130,320,159,317,322,385,384
GNG12,1148,1261,347,166,114,925,1825,2046,1093,2051,2821,2364,3277
GNG12-AS1,6,8,1,1,0,0,4,1,2,1,3,3,2
DIRAS3,2,8,0,0,0,2,1,1,2,1,5,4,6
WLS,297,350,160,76,13,76,159,361,193,275,231,252,256
MIR1262,0,0,0,0,0,0,0,0,0,0,0,0,0
RPE65,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPDC1,107,115,14,9,34,194,430,339,140,337,518,444,621
LRRC7,0,0,2,0,0,0,0,0,0,0,0,0,0
PIN1P1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC40,170,144,29,15,2,115,232,218,102,213,349,309,418
SRSF11,2134,2164,1053,394,101,444,759,1010,518,968,960,1071,1305
ANKRD13C,243,233,64,35,6,115,187,264,126,240,279,201,317
HHLA3,265,155,70,43,34,13,41,50,22,53,64,41,72
CTH,150,106,38,12,8,15,31,68,34,73,40,32,56
PTGER3,0,0,0,0,0,0,0,0,0,0,0,1,0
ZRANB2-AS1,4,2,0,0,0,0,0,0,0,0,0,0,0
ZRANB2,601,570,166,77,21,235,397,577,258,572,748,608,927
