,Series4_A549_Mock_1,Series4_A549_Mock_2,Series4_A549_IAV_1,Series4_A549_IAV_2,Series9_NHBE_Mock_1,Series9_NHBE_Mock_2,Series9_NHBE_Mock_3,Series9_NHBE_Mock_4,Series9_NHBE_IAV_1,Series9_NHBE_IAV_2,Series9_NHBE_IAV_3,Series9_NHBE_IAV_4
RUNDC3A,4,3,4,1,18,23,28,49,116,20,31,17
SLC25A39,622,1103,438,264,1184,1318,1516,2577,5588,1308,1497,680
GRN,1099,2177,706,449,3170,3208,3815,6700,15194,3650,5226,2337
FAM171A2,43,85,20,9,10,14,19,42,45,16,23,9
ITGA2B,10,18,6,6,1,1,1,1,17,1,8,2
GPATCH8,334,686,590,124,332,249,231,509,1567,377,419,252
FZD2,487,915,277,156,14,11,16,23,27,12,9,3
CCDC43,180,452,538,77,170,177,242,546,1025,240,267,134
DBF4B,197,315,262,94,55,69,40,72,157,31,31,18
ADAM11,24,33,9,8,0,0,0,1,2,0,1,0
GJC1,203,361,329,122,66,55,128,266,526,135,91,37
HIGD1B,1,3,1,3,0,0,1,0,0,4,0,0
EFTUD2,981,1716,1906,578,809,785,863,1710,4010,1102,1016,518
CCDC103,60,127,86,19,8,17,17,36,62,9,8,4
GFAP,1,5,2,3,0,0,0,0,0,2,0,1
KIF18B,441,711,398,160,84,109,44,61,223,59,14,6
C1QL1,63,150,63,24,1,1,1,0,2,0,2,0
DCAKD,136,186,90,37,157,176,222,358,789,165,219,108
NMT1,866,1676,1390,361,998,1011,936,1924,4658,1108,1038,509
PLCD3,743,1329,425,276,455,448,618,1133,2245,476,455,237
ACBD4,98,202,86,24,21,18,32,55,47,13,13,5
HEXIM1,1027,1923,1441,392,557,590,805,1539,2333,513,654,386
HEXIM2,82,165,65,31,1,3,6,19,24,6,2,2
FMNL1,315,575,513,151,17,16,23,31,51,13,37,21
MAP3K14-AS1,25,39,14,4,10,13,5,18,42,12,11,6
SPATA32,2,4,7,3,0,0,0,0,0,1,2,0
MAP3K14,459,776,624,264,51,62,54,97,229,61,63,26
ARHGAP27,143,248,118,46,349,375,565,1087,1339,315,411,226
PLEKHM1,131,192,88,29,294,311,382,844,2282,484,461,212
MIR4315-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR4315-2,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37A4P,55,145,144,21,1,1,1,4,3,2,0,0
CRHR1,0,2,2,1,0,0,0,0,0,0,0,0
MAPT-AS1,0,0,0,0,0,0,0,0,0,0,0,0
SPPL2C,0,0,1,0,0,0,0,0,0,0,0,0
MAPT,46,55,39,15,2,0,0,2,5,0,5,1
MAPT-IT1,0,0,0,0,0,0,0,0,0,0,0,0
STH,0,0,0,0,0,0,0,0,0,0,0,0
KANSL1,293,574,547,87,268,289,209,430,1175,310,291,164
KANSL1-AS1,7,17,12,7,7,11,11,22,26,4,10,3
LRRC37A,6,7,14,0,4,1,5,7,3,2,2,4
ARL17A,13,30,28,4,5,9,8,9,22,7,4,5
ARL17B,0,0,0,0,3,4,5,4,18,1,3,1
NSFP1,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37A2,15,52,29,2,11,25,25,46,45,8,15,5
NSF,283,496,844,162,165,157,248,462,1066,229,359,182
WNT3,46,89,55,10,15,20,18,37,95,32,22,12
WNT9B,0,0,0,0,0,0,0,0,0,0,0,0
GOSR2,152,357,400,69,246,251,364,675,1530,349,302,162
MIR5089,0,0,0,0,0,0,0,0,0,0,0,0
RPRML,2,6,0,0,0,0,0,0,0,0,0,0
CDC27,685,1601,3022,488,234,260,513,1163,2452,401,526,319
MYL4,0,0,0,0,0,0,0,1,6,1,0,0
ITGB3,8,4,14,1,0,0,1,1,10,5,1,0
EFCAB13,24,32,32,18,1,1,3,3,14,2,6,6
MRPL45P2,23,35,32,5,3,7,10,12,28,8,7,0
NPEPPS,529,1118,1171,273,630,636,819,1705,3536,704,1056,613
KPNB1,2572,4873,6725,1187,2501,2539,2419,4687,12229,3156,3117,1533
TBKBP1,42,59,29,12,165,157,190,349,602,97,172,90
TBX21,0,0,0,0,0,0,0,0,0,0,0,0
OSBPL7,56,110,76,31,72,58,85,143,211,49,67,30
MRPL10,387,822,397,132,261,241,317,610,1068,300,228,110
LRRC46,9,36,11,4,4,1,2,8,17,5,2,1
SCRN2,153,279,53,39,122,138,226,299,351,90,133,61
SP6,20,27,4,8,115,87,166,320,416,98,162,103
SP2,105,188,210,53,123,109,82,168,585,112,115,64
PNPO,313,491,300,124,311,319,338,645,964,215,361,193
PRR15L,2,7,0,1,28,29,48,97,7,2,27,15
CDK5RAP3,486,841,658,201,357,349,496,958,1411,442,437,197
COPZ2,18,31,24,6,42,27,49,91,152,44,57,28
MIR152,0,0,0,0,0,0,0,0,0,0,0,0
NFE2L1,1123,2165,1649,427,2288,2196,2387,4433,11879,2937,3628,1760
CBX1,628,1405,1293,238,437,445,529,959,2265,538,498,231
SNX11,108,178,58,36,112,136,151,302,749,189,168,72
